Average Weekday Subway Ridership,,,,,,,,,,,,
Station (alphabetical by borough),Boro,2007,2008,2009,2010,2011,2012,2013,2012-2013 Change,,2013 Rank,
The Bronx,,,,,,,,,,,,
"138 St-Grand Concourse (4,5) ",Bx,"2,720","2,926","2,969","3,013","3,076","3,183","3,222",+39,+1.2%,362,
"149 St-Grand Concourse (2,4,5) ",Bx,"10,384","11,395","12,056","12,744","13,422","13,599","14,380",+781,+5.7%,106,
"161 St-Yankee Stadium (B,D,4) ",Bx,"24,258","26,511","26,061","26,159","26,631","27,604","26,972",-632,-2.3%,41,
167 St (4) ,Bx,"8,564","9,125","9,054","9,220","9,351","9,699","9,904",+205,+2.1%,158,
"167 St (B,D) ",Bx,"8,747","8,913","8,848","8,839","9,054","9,264","9,374",+110,+1.2%,171,
170 St (4) ,Bx,"7,958","8,661","8,848","9,234","9,259","9,518","9,525",+7,+0.1%,168,
"170 St (B,D) ",Bx,"6,273","6,421","6,255","6,054","6,155","6,303","6,563",+260,+4.1%,229,
"174 St (2,5) ",Bx,"6,514","6,876","6,801","7,227","7,049","7,018","7,339",+321,+4.6%,204,
"174-175 Sts (B,D) ",Bx,"4,669","4,822","4,603","4,537","4,660","4,706","4,885",+179,+3.8%,293,
176 St (4) ,Bx,"4,606","5,105","4,312","4,517","5,383","5,623","5,905",+282,+5.0%,256,
"182-183 Sts (B,D) ",Bx,"4,898","4,747","4,612","4,550","4,546","4,507","4,554",+47,+1.0%,310,
183 St (4) ,Bx,"3,371","5,890","5,954","6,071","6,162","6,319","6,360",+41,+0.6%,236,
"219 St (2,5) ",Bx,"2,727","2,982","3,049","3,261","3,337","3,413","3,483",+70,+2.1%,350,
"225 St (2,5) ",Bx,"3,493","3,798","3,841","4,104","4,346","4,469","4,479",+10,+0.2%,315,
231 St (1) ,Bx,"8,095","8,670","8,428","8,680","9,170","9,187","8,951",-236,-2.6%,177,
"233 St (2,5) ",Bx,"4,437","4,834","4,870","5,179","5,379","5,388","5,473",+85,+1.6%,272,
238 St (1) ,Bx,"3,551","3,681","3,492","3,514","3,019","3,612","3,598",-14,-0.4%,346,
3 Av-138 St (6) ,Bx,"6,447","6,878","6,894","6,985","7,238","7,326","7,667",+341,+4.7%,196,
"3 Av-149 St (2,5) ",Bx,"22,824","23,859","24,096","23,955","24,022","24,580","24,001",-579,-2.4%,51,
"Allerton Av (2,5) ",Bx,"4,958","5,179","5,258","5,282","5,193","5,389","5,526",+137,+2.5%,270,
Baychester Av (5) ,Bx,"3,743","3,924","3,634","3,706","3,840","3,980","4,177",+197,+4.9%,322,
"Bedford Park Blvd (B,D) ",Bx,"6,214","6,317","6,054","6,037","6,150","6,183","6,303",+120,+1.9%,239,
Bedford Park Blvd-Lehman College (4) ,Bx,"5,359","5,519","5,701","5,897","6,052","6,034","6,201",+167,+2.8%,243,
"Bronx Park East (2,5) ",Bx,"2,768","2,897","2,834","2,888","2,757","2,811","2,959",+148,+5.3%,368,
Brook Av (6) ,Bx,"5,618","5,877","5,790","5,874","6,073","6,113","6,186",+73,+1.2%,244,
Buhre Av (6) ,Bx,"2,795","2,975","2,980","3,011","3,315","3,418","3,718",+300,+8.8%,343,
"Burke Av (2,5) ",Bx,"3,252","3,380","3,367","3,392","3,387","3,491","3,612",+121,+3.5%,345,
Burnside Av (4) ,Bx,"10,135","10,433","10,909","11,232","11,243","11,387","11,560",+173,+1.5%,137,
Castle Hill Av (6) ,Bx,"6,660","6,969","6,708","7,617","7,540","7,567","5,632","-1,935",-25.6%,266,
Cypress Av (6) ,Bx,"3,358","3,670","3,574","3,739","3,701","3,636","3,842",+206,+5.7%,335,
East 143 St-St Mary's St (6) ,Bx,931,899,831,871,941,973,911,-62,-6.4%,411,
East 149 St (6) ,Bx,"4,259","4,386","4,323","4,226","4,336","4,486","4,580",+94,+2.1%,307,
"East 180 St (2,5) ",Bx,"5,948","6,428","6,341","5,931","6,518","6,832","7,003",+171,+2.5%,213,
Eastchester-Dyre Av (5) ,Bx,"3,930","4,301","4,189","4,333","4,603","4,765","4,948",+183,+3.8%,289,
Elder Av (6) ,Bx,"6,318","6,480","6,434","9,042","2,240","6,161","6,377",+216,+3.5%,235,
Fordham Rd (4) ,Bx,"12,570","11,511","11,732","12,080","12,330","12,560","12,558",-2,-0.0%,122,
"Fordham Rd (B,D) ",Bx,"11,516","11,576","11,413","11,454","11,465","11,521","11,878",+357,+3.1%,131,
"Freeman St (2,5) ",Bx,"3,313","3,635","3,812","4,296","4,382","4,569","4,762",+193,+4.2%,299,
"Gun Hill Rd (2,5) ",Bx,"5,567","6,005","6,145","6,717","7,045","7,212","7,339",+127,+1.8%,205,
Gun Hill Rd (5) ,Bx,"5,828","6,025","5,770","5,776","5,794","5,953","6,002",+49,+0.8%,249,
Hunts Point Av (6) ,Bx,"10,242","10,612","10,512","10,494","10,316","10,389","10,144",-245,-2.4%,153,
"Intervale Av (2,5) ",Bx,"2,640","2,775","2,785","2,951","2,974","3,121","3,420",+299,+9.6%,354,
"Jackson Av (2,5) ",Bx,"4,860","5,089","4,961","5,249","5,110","5,060","5,432",+372,+7.4%,274,
Kingsbridge Rd (4) ,Bx,"5,049","8,980","9,320","9,754","10,153","10,377","10,431",+54,+0.5%,150,
"Kingsbridge Rd (B,D) ",Bx,"8,502","7,788","7,417","7,208","7,189","7,184","7,422",+238,+3.3%,203,
Longwood Av (6) ,Bx,"3,346","3,352","3,228","3,273","3,418","3,476","3,494",+18,+0.5%,348,
Middletown Rd (6) ,Bx,"1,682","1,796","1,802","1,883","1,916","1,969","1,514",-455,-23.1%,405,
Morris Park (5) ,Bx,"1,885","1,957","1,873","1,871","1,966","2,083","2,210",+127,+6.1%,392,
Morrison Av-Soundview (6) ,Bx,"5,956","6,352","6,225","2,304","9,603","6,582","6,588",+6,+0.1%,227,
Mosholu Pkwy (4) ,Bx,"7,103","8,468","9,078","9,439","9,578","9,596","9,588",-8,-0.1%,166,
Mt Eden Av (4) ,Bx,"4,937","5,174","5,615","5,848","5,748","5,859","5,995",+136,+2.3%,251,
"Nereid Av (2,5) ",Bx,"2,840","3,107","3,080","3,307","3,420","3,603","3,878",+275,+7.6%,333,
Norwood-205 St (D) ,Bx,"7,626","7,869","7,588","7,602","7,779","7,872","8,043",+171,+2.2%,189,
Parkchester (6) ,Bx,"14,708","15,189","14,978","12,724","15,516","15,190","16,614","+1,424",+9.4%,83,
Pelham Bay Park (6) ,Bx,"6,010","6,262","6,299","6,538","6,705","6,688","6,772",+84,+1.3%,221,
"Pelham Pkwy (2,5) ",Bx,"7,373","8,116","8,287","8,691","8,850","9,288","9,614",+326,+3.5%,164,
Pelham Pkwy (5) ,Bx,"2,950","3,054","3,011","3,139","3,236","3,314","3,254",-60,-1.8%,360,
"Prospect Av (2,5) ",Bx,"7,064","7,457","7,291","7,551","7,212","7,053","7,424",+371,+5.3%,202,
"Simpson St (2,5) ",Bx,"8,851","9,375","9,095","9,815","9,421","9,243","9,672",+429,+4.6%,163,
St Lawrence Av (6) ,Bx,"3,810","4,036","4,016","5,093","1,427","3,852","3,995",+143,+3.7%,328,
"Tremont Av (B,D) ",Bx,"8,767","8,842","8,542","8,513","8,767","8,882","9,157",+275,+3.1%,173,
Van Cortlandt Park-242 St (1) ,Bx,"5,758","6,184","6,040","6,148","6,504","6,641","6,943",+302,+4.5%,216,
Wakefield-241 St (2) ,Bx,"4,002","4,257","4,212","4,582","4,955","5,048","4,825",-223,-4.4%,295,
"West Farms Sq-East Tremont Av (2,5) ",Bx,"7,050","7,348","7,270","8,052","7,749","7,842","7,979",+137,+1.7%,191,
Westchester Sq-East Tremont Av (6) ,Bx,"6,095","6,322","6,178","6,359","6,663","6,663","6,820",+157,+2.4%,219,
Whitlock Av (6) ,Bx,"1,507","1,524","1,528",524,"2,342","1,691","1,685",-6,-0.4%,402,
Woodlawn (4) ,Bx,"6,318","6,723","6,980","7,513","7,852","7,797","7,776",-21,-0.3%,193,
Zerega Av (6) ,Bx,"2,335","2,455","2,404","2,539","2,741","2,849","3,253",+404,+14.2%,361,
Brooklyn,,,,,,,,,,,,
"15 St-Prospect Park (F,G) ",B,"6,006","6,002","5,977","6,220","4,725","6,018","6,448",+430,+7.1%,233,
18 Av (D) ,B,"5,267","5,667","5,611","5,699","5,516","5,544","6,162",+618,+11.1%,245,
18 Av (F) ,B,"4,127","4,209","4,008","4,145","4,205","4,220","4,204",-16,-0.4%,320,
18 Av (N) ,B,"4,686","5,077","5,227","5,049","5,469","5,507","5,092",-415,-7.5%,284,
20 Av (D) ,B,"4,461","4,680","4,531","4,517","4,478","4,556","4,859",+303,+6.7%,294,
20 Av (N) ,B,"3,634","3,923","4,108","3,903","4,011","4,091","4,190",+99,+2.4%,321,
25 Av (D) ,B,"4,272","4,445","4,304","4,318","4,220","4,046","4,607",+561,+13.9%,306,
25 St (R) ,B,"3,786","3,859","3,736","3,812","3,915","3,820","3,821",+1,+0.0%,336,
"36 St (D,N,R) ",B,"10,578","11,151","10,852","11,135","11,411","11,946","12,059",+113,+0.9%,130,
"4 Av (F,G)/9 St (R) ",B,"10,205","10,789","10,895","11,412","12,479","13,471","13,156",-315,-2.3%,119,
45 St (R) ,B,"7,052","7,303","7,171","7,059","7,218","7,070","6,978",-92,-1.3%,215,
50 St (D) ,B,"3,269","3,279","3,130","3,129","3,008","3,172","3,308",+136,+4.3%,358,
53 St (R) ,B,"7,516","7,648","7,460","7,423","7,533","7,476","7,479",+3,+0.0%,199,
55 St (D) ,B,"2,018","2,046","1,925","1,944","1,983","1,859","1,964",+105,+5.6%,397,
"59 St (N,R) ",B,"11,586","12,020","11,756","11,979","11,999","12,317","12,506",+189,+1.5%,123,
"7 Av (B,Q) ",B,"9,093","9,590","9,568","9,614","9,615","9,408","9,389",-19,-0.2%,170,
"7 Av (F,G) ",B,"10,999","10,903","10,643","11,018","12,792","12,118","12,268",+150,+1.2%,125,
71 St (D) ,B,"4,378","4,538","4,270","4,365","3,740","4,007","4,538",+531,+13.3%,313,
77 St (R) ,B,"4,960","5,236","5,080","5,146","5,228","5,306","5,353",+47,+0.9%,277,
79 St (D) ,B,"5,659","5,775","5,577","5,733","5,554","5,612","6,293",+681,+12.1%,240,
8 Av (N) ,B,"8,956","9,594","9,987","10,215","10,480","10,613","10,873",+260,+2.4%,147,
86 St (N) ,B,"2,016","2,194","2,307","2,389","2,491","2,552","2,515",-37,-1.4%,384,
86 St (R) ,B,"10,263","10,659","10,457","10,710","11,076","11,313","11,648",+335,+3.0%,133,
9 Av (D) ,B,"5,815","6,152","5,945","5,955","5,533","5,440","5,857",+417,+7.7%,257,
Alabama Av (J) ,B,"1,906","2,119","2,153","2,271","2,387","2,464","2,443",-21,-0.9%,385,
"Atlantic Av-Barclays Ctr (B,D,N,Q,R,2,3,4,5)",B,"30,224","31,657","31,408","32,497","33,160","35,670","39,871","+4,201",+11.8%,24,
Atlantic Av (L) ,B,"1,144","1,284","1,319","1,385","1,440","1,487","1,580",+93,+6.3%,403,
Avenue H (Q) ,B,"2,695","2,820","2,697","2,174","1,724","2,714","2,861",+147,+5.4%,371,
Avenue I (F) ,B,"2,414","2,422","2,370","2,328","2,290","2,284","2,283",-1,-0.0%,390,
Avenue J (Q) ,B,"6,335","6,506","6,237","6,742","6,860","5,974","6,036",+62,+1.0%,248,
Avenue M (Q) ,B,"5,858","6,188","5,713","4,628","4,632","5,544","5,836",+292,+5.3%,258,
Avenue N (F) ,B,"3,433","3,493","3,282","3,377","3,458","3,390","3,411",+21,+0.6%,355,
Avenue P (F) ,B,"2,828","2,859","2,648","2,667","2,696","2,705","2,757",+52,+1.9%,375,
Avenue U (F) ,B,"2,147","2,153","2,142","2,331","2,229","2,302","2,296",-6,-0.3%,389,
Avenue U (N) ,B,"3,197","3,537","3,871","3,872","3,804","3,980","3,738",-242,-6.1%,342,
Avenue U (Q) ,B,"7,010","7,173","5,875","4,101","6,816","6,694","6,821",+127,+1.9%,218,
Avenue X (F) ,B,"2,896","2,857","2,736","2,789","2,810","2,877","2,972",+95,+3.3%,366,
Bay 50 St (D) ,B,"2,856","2,820","3,170","3,260","3,117","2,632","2,793",+161,+6.1%,374,
Bay Pkwy (D) ,B,"6,674","6,979","6,673","6,753","6,594","6,726","7,111",+385,+5.7%,211,
Bay Pkwy (F) ,B,"1,427","1,414","1,336","1,386","1,398","1,526","1,575",+49,+3.2%,404,
Bay Pkwy (N) ,B,"5,623","6,180","6,494","6,497","6,703","6,892","6,990",+98,+1.4%,214,
Bay Ridge Av (R) ,B,"7,830","8,215","8,092","8,119","8,240","8,206","8,079",-127,-1.5%,187,
Bay Ridge-95 St (R) ,B,"5,535","5,722","5,617","5,715","5,848","5,996","5,974",-22,-0.4%,252,
Bedford Av (L) ,B,"16,857","18,887","19,550","21,149","22,520","23,825","25,755","+1,930",+8.1%,46,
Bedford-Nostrand Avs (G) ,B,"5,312","5,832","5,928","6,040","6,348","6,755","7,300",+545,+8.1%,207,
"Bergen St (2,3) ",B,"3,946","4,033","4,015","4,127","4,344","4,472","4,070",-402,-9.0%,327,
"Bergen St (F,G) ",B,"9,896","10,038","10,154","10,578","11,048","11,370","11,562",+192,+1.7%,136,
Beverley Rd (Q) ,B,"2,829","2,875","2,933","3,436","3,567","3,096","2,340",-756,-24.4%,388,
"Beverly Rd (2,5) ",B,"4,044","4,121","3,975","3,972","4,146","4,199","4,375",+176,+4.2%,316,
"Brighton Beach (B,Q) ",B,"12,312","13,064","12,848","12,770","12,421","12,376","12,185",-191,-1.5%,128,
Broadway (G) ,B,"3,242","3,352","3,347","3,217","3,186","3,272","3,368",+96,+2.9%,356,
"Broadway Junction (A,C,J,L,Z) ",B,"8,731","8,913","8,528","8,412","8,441","8,790","8,863",+73,+0.8%,179,
Bushwick Av-Aberdeen St (L) ,B,"1,022","1,150","1,143","1,246","1,322","1,371","1,509",+138,+10.1%,406,
Canarsie-Rockaway Pkwy (L) ,B,"12,224","12,671","12,282","12,504","12,817","13,039","13,254",+215,+1.6%,117,
"Carroll St (F,G) ",B,"9,930","10,051","9,786","10,002","11,906","13,193","12,339",-854,-6.5%,124,
Central Av (M) ,B,"2,012","2,202","2,347","2,548","2,903","3,445","1,744","-1,701",-49.4%,400,
"Chauncey St (J,Z) ",B,"2,395","2,571","2,646","2,789","2,984","3,037","2,967",-70,-2.3%,367,
"Church Av (2,5) ",B,"9,470","9,539","9,367","9,691","9,929","9,851","9,794",-57,-0.6%,160,
"Church Av (B,Q) ",B,"15,392","16,295","15,769","14,696","14,876","16,042","17,638","+1,596",+9.9%,77,
"Church Av (F,G) ",B,"9,209","9,305","9,174","9,429","10,463","9,985","9,984",-1,-0.0%,156,
"Clark St (2,3) ",B,"5,040","5,221","5,269","5,406","5,596","5,760","5,971",+211,+3.7%,253,
Classon Av (G) ,B,"3,572","3,713","3,760","3,935","4,170","4,288","4,490",+202,+4.7%,314,
Cleveland St (J) ,B,"2,592","2,943","3,013","3,080","3,148","3,271","3,328",+57,+1.7%,357,
Clinton-Washington Avs (C) ,B,"4,902","5,153","5,029","5,404","5,698","6,033","6,642",+609,+10.1%,224,
Clinton-Washington Avs (G) ,B,"4,624","4,728","4,736","4,942","5,190","5,183","5,294",+111,+2.1%,280,
"Coney Island-Stillwell Av (D,F,N,Q) ",B,"11,737","12,488","12,240","13,079","13,254","13,474","13,177",-297,-2.2%,118,
Cortelyou Rd (Q) ,B,"5,870","6,171","6,088","6,578","6,812","6,379","5,318","-1,061",-16.6%,279,
"Court St (R)/Borough Hall (2,3,4,5) ",B,"35,069","36,639","37,057","38,057","38,026","38,088","38,428",+340,+0.9%,27,
"Crescent St (J,Z) ",B,"3,973","4,429","4,428","4,551","4,667","4,635","4,683",+48,+1.0%,302,
"Crown Heights-Utica Av (3,4) ",B,"27,087","27,945","27,231","27,476","27,368","27,549","27,780",+231,+0.8%,38,
Cypress Hills (J) ,B,"1,408","1,393","1,379","1,398","1,434","1,391","1,431",+40,+2.9%,407,
"DeKalb Av (B,Q,R) ",B,"16,068","16,724","16,835","16,905","17,180","17,791","17,318",-473,-2.7%,78,
DeKalb Av (L) ,B,"9,743","10,374","10,066","10,451","10,829","11,004","11,617",+613,+5.6%,134,
Ditmas Av (F) ,B,"4,745","4,728","4,496","4,471","4,554","4,669","4,676",+7,+0.1%,303,
East 105 St (L) ,B,"3,142","3,414","3,407","3,525","3,684","3,727","3,818",+91,+2.4%,337,
"Eastern Pkwy-Brooklyn Museum (2,3) ",B,"4,696","4,842","4,754","4,813","4,835","4,795","4,938",+143,+3.0%,290,
"Euclid Av (A,C) ",B,"9,368","9,722","9,435","9,750","10,037","10,169","10,418",+249,+2.4%,151,
"Flatbush Av-Brooklyn College (2,5) ",B,"19,825","20,338","20,159","21,355","22,168","21,942","21,941",-1,-0.0%,63,
Flushing Av (G) ,B,"1,961","1,974","1,900","1,930","2,032","2,157","2,373",+216,+10.0%,387,
"Flushing Av (J,M) ",B,"6,803","7,378","7,765","8,243","8,477","8,963","9,165",+202,+2.3%,172,
Fort Hamilton Pkwy (D) ,B,"3,685","3,809","3,783","3,772","3,640","3,403","3,984",+581,+17.1%,329,
"Fort Hamilton Pkwy (F,G) ",B,"4,625","4,805","4,816","4,967","4,268","5,092","5,531",+439,+8.6%,269,
Fort Hamilton Pkwy (N) ,B,"5,997","6,399","6,407","6,508","6,715","6,786","7,034",+248,+3.7%,212,
"Franklin Av (2,3,4,5)/Botanic Garden (S) ",B,"12,882","13,537","13,557","14,071","14,795","15,352","15,775",+423,+2.8%,91,
"Franklin Av (C,S) ",B,"4,720","5,022","4,906","5,348","5,786","6,111","6,227",+116,+1.9%,242,
Fulton St (G) ,B,"3,004","3,235","3,379","3,523","3,699","3,956","4,266",+310,+7.8%,318,
"Gates Av (J,Z) ",B,"4,662","5,037","5,194","5,413","5,787","5,964","5,999",+35,+0.6%,250,
Graham Av (L) ,B,"8,023","8,503","8,766","9,442","9,828","9,889","10,136",+247,+2.5%,154,
"Grand Army Plaza (2,3) ",B,"7,869","7,841","7,661","7,722","7,882","8,068","8,066",-2,-0.0%,188,
Grand St (L) ,B,"6,490","6,816","6,700","6,923","7,169","7,171","7,444",+273,+3.8%,201,
Grant Av (A) ,B,"5,952","6,170","6,091","6,089","6,216","6,290","6,270",-20,-0.3%,241,
Greenpoint Av (G) ,B,"7,372","7,660","7,392","7,523","8,073","8,212","8,461",+249,+3.0%,184,
Halsey St (J) ,B,"4,684","5,061","5,109","5,378","5,608","5,650","5,805",+155,+2.7%,261,
Halsey St (L) ,B,"5,821","6,313","6,154","6,420","6,672","6,904","7,308",+404,+5.9%,206,
"Hewes St (J,M) ",B,"1,966","2,143","2,272","2,420","2,628","2,811","2,859",+48,+1.7%,372,
"High St (A,C) ",B,"5,572","6,089","6,045","6,259","6,586","7,050","7,543",+493,+7.0%,198,
"Hoyt St (2,3) ",B,"6,652","6,613","6,341","6,262","6,535","6,710","6,657",-53,-0.8%,223,
"Hoyt-Schermerhorn Sts (A,C,G) ",B,"8,847","9,553","9,642","9,742","9,760","9,928","9,604",-324,-3.3%,165,
"Jay St-MetroTech (A,C,F,R)",B,"35,761","36,596","35,723","35,884","38,037","39,561","40,183",+622,+1.6%,23,
Jefferson St (L) ,B,"4,502","4,865","5,059","5,408","5,771","5,951","6,612",+661,+11.1%,225,
Junius St (3) ,B,"2,057","2,105","2,024","2,142","2,153","2,204","2,206",+2,+0.1%,393,
"Kings Hwy (B,Q) ",B,"18,181","19,193","18,462","19,091","17,639","18,422","18,799",+377,+2.0%,71,
Kings Hwy (F) ,B,"3,503","3,513","3,323","3,478","3,605","3,681","3,655",-26,-0.7%,344,
Kings Hwy (N) ,B,"4,597","4,923","4,989","5,017","5,065","5,104","5,154",+50,+1.0%,282,
Kingston Av (3) ,B,"4,789","4,947","4,734","4,717","4,825","4,929","4,949",+20,+0.4%,288,
Kingston-Throop Avs (C) ,B,"4,787","4,962","4,769","4,897","5,152","5,331","5,678",+347,+6.5%,262,
Knickerbocker Av (M) ,B,"3,043","3,204","3,260","3,325","3,575","2,350","3,429","+1,079",+45.9%,352,
Kosciuszko St (J) ,B,"3,732","4,028","4,107","4,315","4,528","4,592","4,751",+159,+3.5%,301,
Lafayette Av (C) ,B,"4,186","4,518","4,409","4,627","4,665","4,774","4,825",+51,+1.1%,296,
Liberty Av (C) ,B,"2,948","2,960","2,871","2,746","2,687","2,632","2,658",+26,+1.0%,379,
Livonia Av (L) ,B,"1,983","2,249","2,280","2,497","2,678","2,908","2,959",+51,+1.8%,369,
"Lorimer St (J,M) ",B,"3,858","4,217","4,287","4,364","4,564","4,779","4,796",+17,+0.4%,297,
Lorimer St (L)/Metropolitan Av (G),B,"10,883","11,436","11,846","12,556","12,815","13,344","14,004",+660,+4.9%,109,
"Marcy Av (J,M,Z) ",B,"8,340","9,217","9,550","10,349","11,319","11,591","11,775",+184,+1.6%,132,
Montrose Av (L) ,B,"5,007","5,333","5,433","5,946","6,268","6,452","6,731",+279,+4.3%,222,
Morgan Av (L) ,B,"4,633","5,078","5,269","6,050","6,530","6,821","7,126",+305,+4.5%,209,
"Myrtle Av (J,M,Z) ",B,"7,490","8,192","8,405","8,995","9,670","10,098","10,876",+778,+7.7%,146,
Myrtle-Willoughby Avs (G) ,B,"3,818","4,179","4,250","4,139","4,412","4,581","4,916",+335,+7.3%,292,
"Myrtle-Wyckoff Avs (L,M) ",B,"14,790","16,026","16,030","16,445","16,689","17,537","18,167",+630,+3.6%,74,
Nassau Av (G) ,B,"7,654","7,782","7,542","7,343","7,791","8,096","8,435",+339,+4.2%,185,
Neck Rd (Q) ,B,"3,713","3,796","3,182","2,606","4,114","3,834","3,941",+107,+2.8%,332,
Neptune Av (F) ,B,"1,626","1,611","1,583","1,720","1,794","1,705","1,749",+44,+2.6%,399,
"Nevins St (2,3,4,5) ",B,"11,134","11,406","11,579","11,778","11,708","11,653","11,468",-185,-1.6%,139,
New Lots Av (3) ,B,"5,675","5,874","5,752","6,015","6,223","6,214","6,349",+135,+2.2%,237,
New Lots Av (L) ,B,"3,115","3,520","3,729","3,961","4,255","4,475","4,785",+310,+6.9%,298,
New Utrecht Av (N)/62 St (D) ,B,"5,086","5,161","5,052","5,155","5,340","5,883","5,159",-724,-12.3%,281,
"Newkirk Av (2,5) ",B,"7,645","7,851","7,561","7,666","7,715","7,604","7,757",+153,+2.0%,194,
"Newkirk Plaza (B,Q) ",B,"9,563","10,004","9,375","9,179","9,672","9,890","10,788",+898,+9.1%,148,
"Norwood Av (J,Z) ",B,"3,221","3,390","3,319","3,381","3,366","3,518","3,492",-26,-0.7%,349,
Nostrand Av (3) ,B,"3,895","3,891","3,782","3,980","4,069","4,113","4,151",+38,+0.9%,323,
"Nostrand Av (A,C) ",B,"14,840","15,658","15,018","15,264","15,868","16,439","16,843",+404,+2.5%,80,
Ocean Pkwy (Q) ,B,"2,864","2,992","3,075","3,350","3,314","3,155","3,141",-14,-0.4%,364,
Park Pl (S) ,B,"2,363","2,427","2,305","2,261","2,259","2,201","2,077",-124,-5.6%,395,
Parkside Av (Q) ,B,"5,569","5,648","5,661","6,407","6,691","5,729","4,240","-1,489",-26.0%,319,
Pennsylvania Av (3) ,B,"5,832","5,964","5,799","5,800","5,798","5,696","5,675",-21,-0.4%,263,
"President St (2,5) ",B,"3,365","3,492","3,469","3,731","3,754","3,815","3,969",+154,+4.0%,330,
Prospect Av (R) ,B,"5,774","6,042","6,008","6,006","6,230","6,147","5,934",-213,-3.5%,254,
"Prospect Park (B,Q,S) ",B,"8,322","8,675","8,641","8,496","8,557","9,024","9,761",+737,+8.2%,161,
Ralph Av (C) ,B,"4,531","4,721","4,617","4,840","5,007","5,175","5,381",+206,+4.0%,275,
Rockaway Av (3) ,B,"5,616","5,828","5,699","5,729","5,715","5,636","5,632",-4,-0.1%,267,
Rockaway Av (C) ,B,"4,633","4,889","4,786","4,815","4,971","5,089","5,137",+48,+0.9%,283,
Saratoga Av (3) ,B,"5,421","5,572","5,472","5,529","5,662","5,697","5,807",+110,+1.9%,260,
"Sheepshead Bay (B,Q) ",B,"14,429","14,899","14,670","14,969","13,716","14,083","14,010",-73,-0.5%,108,
Shepherd Av (C) ,B,"2,913","3,076","2,939","2,917","2,968","3,034","3,149",+115,+3.8%,363,
"Smith-9 Sts (F,G) ",B,"4,097","4,464","4,579","4,763","1,834",0,"2,854","+2,854",,373,
"Sterling St (2,5) ",B,"5,326","5,417","5,315","5,597","5,755","5,899","5,915",+16,+0.3%,255,
Sutter Av (L) ,B,"3,265","3,556","3,766","4,050","4,201","4,437","4,555",+118,+2.7%,309,
Sutter Av-Rutland Rd (3) ,B,"7,325","7,495","7,259","7,461","7,621","7,713","7,831",+118,+1.5%,192,
